2022-06-23 08:52:06,704 |  INFO | order_book() Pruebas:413 | Precio: 0.05643, Bloque arriba: 0.05681, Bloque abajo: 0.05613, P arriba: 0.67, P abajo: 0.53
2022-06-23 08:52:06,707 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:07,519 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:07,974 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:07,975 |  INFO | order_book() Pruebas:413 | Precio: 0.05643, Bloque arriba: 0.05681, Bloque abajo: 0.05613, P arriba: 0.67, P abajo: 0.53
2022-06-23 08:52:07,979 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:08,797 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:09,242 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:09,242 |  INFO | order_book() Pruebas:413 | Precio: 0.05644, Bloque arriba: 0.05681, Bloque abajo: 0.05613, P arriba: 0.65, P abajo: 0.55
2022-06-23 08:52:09,251 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:10,111 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:11,390 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:11,390 |  INFO | order_book() Pruebas:413 | Precio: 0.05637, Bloque arriba: 0.05681, Bloque abajo: 0.05613, P arriba: 0.77, P abajo: 0.43
2022-06-23 08:52:11,402 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:12,247 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:13,466 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:13,466 |  INFO | order_book() Pruebas:413 | Precio: 0.0563, Bloque arriba: 0.05663, Bloque abajo: 0.05583, P arriba: 0.58, P abajo: 0.84
2022-06-23 08:52:13,484 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:14,299 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:14,766 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:14,766 |  INFO | order_book() Pruebas:413 | Precio: 0.05631, Bloque arriba: 0.05663, Bloque abajo: 0.05583, P arriba: 0.57, P abajo: 0.86
2022-06-23 08:52:14,771 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:15,576 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:16,032 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:16,032 |  INFO | order_book() Pruebas:413 | Precio: 0.05629, Bloque arriba: 0.05659, Bloque abajo: 0.05583, P arriba: 0.53, P abajo: 0.82
2022-06-23 08:52:16,038 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:16,858 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:17,390 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:17,390 |  INFO | order_book() Pruebas:413 | Precio: 0.05633, Bloque arriba: 0.05657, Bloque abajo: 0.05583, P arriba: 0.42, P abajo: 0.90
2022-06-23 08:52:17,396 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:18,251 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:18,698 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:18,700 |  INFO | order_book() Pruebas:413 | Precio: 0.05629, Bloque arriba: 0.05681, Bloque abajo: 0.05583, P arriba: 0.92, P abajo: 0.82
2022-06-23 08:52:18,704 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:19,534 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:19,974 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:19,974 |  INFO | order_book() Pruebas:413 | Precio: 0.05631, Bloque arriba: 0.05659, Bloque abajo: 0.05583, P arriba: 0.49, P abajo: 0.86
2022-06-23 08:52:19,984 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:20,781 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:21,237 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:21,239 |  INFO | order_book() Pruebas:413 | Precio: 0.05626, Bloque arriba: 0.05659, Bloque abajo: 0.05583, P arriba: 0.58, P abajo: 0.77
2022-06-23 08:52:21,241 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:22,052 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:23,280 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:23,280 |  INFO | order_book() Pruebas:413 | Precio: 0.05623, Bloque arriba: 0.05649, Bloque abajo: 0.05583, P arriba: 0.46, P abajo: 0.72
2022-06-23 08:52:23,296 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:24,130 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:24,576 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:24,576 |  INFO | order_book() Pruebas:413 | Precio: 0.05622, Bloque arriba: 0.05653, Bloque abajo: 0.05581, P arriba: 0.55, P abajo: 0.73
2022-06-23 08:52:24,586 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:25,421 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:25,889 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:25,889 |  INFO | order_book() Pruebas:413 | Precio: 0.05608, Bloque arriba: 0.05653, Bloque abajo: 0.0556, P arriba: 0.80, P abajo: 0.86
2022-06-23 08:52:25,899 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:26,811 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:27,405 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:27,405 |  INFO | order_book() Pruebas:413 | Precio: 0.05612, Bloque arriba: 0.05648, Bloque abajo: 0.05582, P arriba: 0.64, P abajo: 0.54
2022-06-23 08:52:27,414 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:28,232 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:28,700 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:28,700 |  INFO | order_book() Pruebas:413 | Precio: 0.05612, Bloque arriba: 0.05648, Bloque abajo: 0.05584, P arriba: 0.64, P abajo: 0.50
2022-06-23 08:52:28,738 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:29,558 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:30,784 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:30,784 |  INFO | order_book() Pruebas:413 | Precio: 0.05619, Bloque arriba: 0.05648, Bloque abajo: 0.05584, P arriba: 0.51, P abajo: 0.63
2022-06-23 08:52:30,800 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:31,600 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:32,040 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:32,040 |  INFO | order_book() Pruebas:413 | Precio: 0.05624, Bloque arriba: 0.05656, Bloque abajo: 0.05582, P arriba: 0.57, P abajo: 0.75
2022-06-23 08:52:32,051 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:32,964 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:33,405 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:33,405 |  INFO | order_book() Pruebas:413 | Precio: 0.05624, Bloque arriba: 0.05656, Bloque abajo: 0.05582, P arriba: 0.57, P abajo: 0.75
2022-06-23 08:52:33,417 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:34,247 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:34,688 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:34,690 |  INFO | order_book() Pruebas:413 | Precio: 0.05627, Bloque arriba: 0.05656, Bloque abajo: 0.05582, P arriba: 0.51, P abajo: 0.81
2022-06-23 08:52:34,693 | DEBUG | _new_conn() connectionpool.py:1001 | Starting new HTTPS connection (1): fapi.binance.com:443
2022-06-23 08:52:35,500 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/depth?symbol=GALAUSDT&limit=50 HTTP/1.1" 200 None
2022-06-23 08:52:36,732 | DEBUG | _make_request() connectionpool.py:456 | https://fapi.binance.com:443 "GET /fapi/v1/ticker/price?symbol=GALAUSDT HTTP/1.1" 200 None
2022-06-23 08:52:36,732 |  INFO | order_book() Pruebas:413 | Precio: 0.05623, Bloque arriba: 0.05656, Bloque abajo: 0.05582, P arriba: 0.58, P abajo: 0.73
